Country,Restaurant Name,Sentiment,Review Title,Review Date,Review,Word Count,Tokens,Cleaned_Review
France,The Frog at Bercy Village,Negative,Rude manager,,the manager became agressive when i said the carbonara was not good she was rude it was a very bad experience the worst in rome in many years,28,"['manag', 'becam', 'agress', 'said', 'carbonara', 'good', 'rude', 'bad', 'experi', 'worst', 'rome', 'mani', 'year']",manag becam agress said carbonara good rude bad experi worst rome mani year
France,The Frog at Bercy Village,Negative,A big disappointment,,i ordered a beef fillet ask to be done medium i got it well done cooked and very dry when i told them they took the steak and after minutes they brought me another steak that was completely rare i left all the steak and they asked me about it but charged me the fool price,58,"['order', 'beef', 'fillet', 'ask', 'done', 'medium', 'got', 'well', 'done', 'cook', 'dri', 'told', 'took', 'steak', 'minut', 'brought', 'anoth', 'steak', 'complet', 'rare', 'left', 'steak', 'ask', 'charg', 'fool', 'price']",order beef fillet ask done medium got well done cook dri told took steak minut brought anoth steak complet rare left steak ask charg fool price
France,The Frog at Bercy Village,Negative,Pretty Place with Bland Food,,this is an attractive venue with welcoming albeit but somewhat slow service the offerings are pleasingly presented but most everything has no taste it was as though ingredients were just assembled without seasoning a lovely restaurant except for the food,40,"['attract', 'venu', 'welcom', 'albeit', 'somewhat', 'slow', 'servic', 'offer', 'pleasingli', 'present', 'everyth', 'tast', 'though', 'ingredi', 'assembl', 'without', 'season', 'love', 'restaur', 'except', 'food']",attract venu welcom albeit somewhat slow servic offer pleasingli present everyth tast though ingredi assembl without season love restaur except food
France,The Frog at Bercy Village,Negative,Great service and wine but inedible food,,sadly i used the high tripadvisor rating too literally we have been fortunate to eat at a number of fine restaurants so know that amazing buzz from a mouthful of fine freshly cooked food from a great chef never before have we eaten a tasting menu and never will we again ad hoc has a great ambience with attentive friendly service and all the paired wines were exceptional maybe we hit a night when the chef was off but every single course of food was certainly not freshly cooked and as we passed the kitchen on the way to the bathroom noticed plates of precooked food ready to go on the tasting menu plates if it had been the odd dish that disappointed we would have accepted that it might have just been our palates not liking it as it was every plate of food was not hot bland lacking any spark and had probably been sitting around for a whilel all the serving staff were great as was the wine but i failed to finish any plate offered the tasting menu looked good value but a simple bowl of hot freshly cooked pasta would have done better justice to the wine when asked i admitted with that great english understatement that i had been disappointed i found euros had been deducted from the euro bill so it was nice that they noticed probably best to avoid the tasting menus and enjoy their great wine selection with some pasta and maybe cheese course i feel responsible that i made a poor choice not realizing that this is a place geared for tourists an expensive mistake,279,"['sadli', 'use', 'high', 'tripadvisor', 'rate', 'liter', 'fortun', 'eat', 'number', 'fine', 'restaur', 'know', 'amaz', 'buzz', 'mouth', 'fine', 'freshli', 'cook', 'food', 'great', 'chef', 'eaten_NEG', 'tast', 'menu', 'ad_NEG', 'hoc', 'great', 'ambienc', 'attent', 'friendli', 'servic', 'pair', 'wine', 'except', 'mayb', 'hit', 'night', 'chef', 'everi', 'singl', 'cours', 'food', 'certainli', 'freshli', 'cook', 'pa', 'kitchen', 'way', 'bathroom', 'notic', 'plate', 'precook', 'food', 'readi', 'go', 'tast', 'menu', 'plate', 'odd', 'dish', 'disappoint', 'would', 'accept', 'might', 'palat', 'like', 'everi', 'plate', 'food', 'hot', 'bland', 'lack', 'spark', 'probabl', 'sit', 'around', 'whilel', 'serv', 'staff', 'great', 'wine', 'fail', 'finish', 'plate', 'offer', 'tast', 'menu', 'look', 'good', 'valu', 'simpl', 'bowl', 'hot', 'freshli', 'cook', 'pasta', 'would', 'done', 'better', 'justic', 'wine', 'ask', 'admit', 'great', 'english', 'understat', 'disappoint', 'found', 'euro', 'deduct', 'euro', 'bill', 'nice', 'notic', 'probabl', 'best', 'avoid', 'tast', 'menu', 'enjoy', 'great', 'wine', 'select', 'pasta', 'mayb', 'chees', 'cours', 'feel', 'respons', 'made', 'poor', 'choic', 'realiz', 'place', 'gear', 'tourist', 'expens', 'mistak']",sadli use high tripadvisor rate liter fortun eat number fine restaur know amaz buzz mouth fine freshli cook food great chef eaten_NEG tast menu ad_NEG hoc great ambienc attent friendli servic pair wine except mayb hit night chef everi singl cours food certainli freshli cook pa kitchen way bathroom notic plate precook food readi go tast menu plate odd dish disappoint would accept might palat like everi plate food hot bland lack spark probabl sit around whilel serv staff great wine fail finish plate offer tast menu look good valu simpl bowl hot freshli cook pasta would done better justic wine ask admit great english understat disappoint found euro deduct euro bill nice notic probabl best avoid tast menu enjoy great wine select pasta mayb chees cours feel respons made poor choic realiz place gear tourist expens mistak
France,The Frog at Bercy Village,Negative,Avoid- Worst meal in Rome - possibly ever,,from the start this meal was bad especially given the price we visited for my husbands birthday after being recommended by our local hotel the lady in charge appeared at our table as we arrived to basically upsell the truffle menu plonked some truffles on the table and then with no explanation of how they would enhance the dishes gave us a rehearsed speech which she proceeded to repeat word for word at every single table if the food had been good we could have forgiven this but it wasn’t the best parts were the bland bits as at least they were inoffensive nothing was seasoned and sauces were completely tasteless with strange and weird combinations but the worst part of the meal was my husbands inedible medallions of ‘lamb’ dish this was made up of a tiny amount of lamb gristle and fat wrapped around some mushy stuff we couldn’t identify fillet of beef was sort of well cooked frankly hard to get wrong but served with exactly the same sauce as the lamb some reconstituted mash in strange tube shapes and tasteless watery spinach we asked for wine recommendations the wines were ok but we weren’t told what they were they weren’t explained to us i had to ask what mine was and was told it was ‘local’ and we weren’t offered any to try with so much choice nearby and so many better and much cheaper options i’d avoid,243,"['start', 'meal', 'bad', 'especi', 'given', 'price', 'visit', 'husband', 'birthday', 'recommend', 'local', 'hotel', 'ladi', 'charg', 'appear', 'tabl', 'arriv', 'basic', 'upsel', 'truffl', 'menu', 'plonk', 'truffl', 'tabl', 'explan', 'would', 'enhanc', 'dish', 'gave', 'u', 'rehears', 'speech', 'proceed', 'repeat', 'word', 'word', 'everi', 'singl', 'tabl', 'food', 'good', 'could', 'forgiven', '’', 'best', 'part', 'bland', 'bit', 'least', 'inoffens', 'noth', 'season', 'sauc', 'complet', 'tasteless', 'strang', 'weird', 'combin', 'worst', 'part', 'meal', 'husband', 'ined', 'medallion', '‘', 'lamb', '’', 'dish', 'made', 'tini', 'amount', 'lamb', 'gristl', 'fat', 'wrap', 'around', 'mushi', 'stuff', '’', 'identifi', 'fillet', 'beef', 'sort', 'well', 'cook', 'frankli', 'hard', 'get', 'wrong', 'serv', 'exactli', 'sauc', 'lamb', 'reconstitut', 'mash', 'strang', 'tube', 'shape', 'tasteless', 'wateri', 'spinach', 'ask', 'wine', 'recommend', 'wine', 'ok', '’', 'told', '’', 'explain', 'u', 'ask', 'mine', 'told', '‘', 'local', '’', '’', 'offer', 'tri', 'much', 'choic', 'nearbi', 'mani', 'better', 'much', 'cheaper', 'option', '’', 'avoid']",start meal bad especi given price visit husband birthday recommend local hotel ladi charg appear tabl arriv basic upsel truffl menu plonk truffl tabl explan would enhanc dish gave u rehears speech proceed repeat word word everi singl tabl food good could forgiven ’ best part bland bit least inoffens noth season sauc complet tasteless strang weird combin worst part meal husband ined medallion ‘ lamb ’ dish made tini amount lamb gristl fat wrap around mushi stuff ’ identifi fillet beef sort well cook frankli hard get wrong serv exactli sauc lamb reconstitut mash strang tube shape tasteless wateri spinach ask wine recommend wine ok ’ told ’ explain u ask mine told ‘ local ’ ’ offer tri much choic nearbi mani better much cheaper option ’ avoid
France,The Frog at Bercy Village,Negative,"Shocking management, TERRIBLE service by mum and daughter!! FOR Tourist ONLY!!",,we visited this restaurant on saturday night and we had the most disappointing service and food experience ever it was my partners bday celebration weekend the restaurant is run by a blonde manager and her daughter wich had the most terrible attitude they both made sure we will never be back there we were sitting at the table near the window but the ac was off and outside about degrees halfway through our meal truffle tasting menu with wine pairing we asked to move anywhere else because it was too warm there the young waitress the daughter asked the manager her mum to move us but she replies a very sharp no also a dog pooped just in front of us on the pedestrian side but apparently according to the same waitress that was nothing that concerned the restaurant anyhow now not only was it crazy hot but with a nice poo view too so we could not move anywhere even though the restaurant was empty for no reason asked to talk to her mum the manager she never touches the table or acknowledges us how can you deny to a couple with euro bills to move to another table when your restaurant is empty finally a gem of a waitress with curly hair approached the table and moved us to another spot where we spent the rest of the evening in confinement because as i said one side of the restaurant was empty for the whole night i have been managing restaurants for my whole life and i never gave such an awful service and attitude to my guests the tempo of service completely wrong food was getting to our table way earlier than wine the wine was poured into the glasses and set in the station for about minutes before being served subjected to the bacterias and dust since everyone was passing by food was good but if you are used to firstclass and fine dining service keep out from this place,337,"['visit', 'restaur', 'saturday', 'night', 'disappoint', 'servic', 'food', 'experi', 'ever', 'partner', 'bday', 'celebr', 'weekend', 'restaur', 'run', 'blond', 'manag', 'daughter', 'wich', 'terribl', 'attitud', 'made', 'sure', 'back_NEG', 'sit', 'tabl', 'near', 'window', 'ac', 'outsid', 'degre', 'halfway', 'meal', 'truffl', 'tast', 'menu', 'wine', 'pair', 'ask', 'move', 'anywher', 'el', 'warm', 'young', 'waitress', 'daughter', 'ask', 'manag', 'mum', 'move', 'u', 'repli', 'sharp', 'also', 'dog', 'poop', 'front', 'u', 'pedestrian', 'side', 'appar', 'accord', 'waitress', 'noth', 'concern', 'restaur', 'anyhow', 'crazi', 'hot', 'nice', 'poo', 'view', 'could', 'move', 'anywher', 'even', 'though', 'restaur', 'empti', 'reason', 'ask', 'talk', 'mum', 'manag', 'touch_NEG', 'tabl', 'acknowledg', 'u', 'deni', 'coupl', 'euro', 'bill', 'move', 'anoth', 'tabl', 'restaur', 'empti', 'final', 'gem', 'waitress', 'curli', 'hair', 'approach', 'tabl', 'move', 'u', 'anoth', 'spot', 'spent', 'rest', 'even', 'confin', 'said', 'one', 'side', 'restaur', 'empti', 'whole', 'night', 'manag', 'restaur', 'whole', 'life', 'gave_NEG', 'aw', 'servic', 'attitud', 'guest', 'tempo', 'servic', 'complet', 'wrong', 'food', 'get', 'tabl', 'way', 'earlier', 'wine', 'wine', 'pour', 'glass', 'set', 'station', 'minut', 'serv', 'subject', 'bacteria', 'dust', 'sinc', 'everyon', 'pa', 'food', 'good', 'use', 'firstclass', 'fine', 'dine', 'servic', 'keep', 'place']",visit restaur saturday night disappoint servic food experi ever partner bday celebr weekend restaur run blond manag daughter wich terribl attitud made sure back_NEG sit tabl near window ac outsid degre halfway meal truffl tast menu wine pair ask move anywher el warm young waitress daughter ask manag mum move u repli sharp also dog poop front u pedestrian side appar accord waitress noth concern restaur anyhow crazi hot nice poo view could move anywher even though restaur empti reason ask talk mum manag touch_NEG tabl acknowledg u deni coupl euro bill move anoth tabl restaur empti final gem waitress curli hair approach tabl move u anoth spot spent rest even confin said one side restaur empti whole night manag restaur whole life gave_NEG aw servic attitud guest tempo servic complet wrong food get tabl way earlier wine wine pour glass set station minut serv subject bacteria dust sinc everyon pa food good use firstclass fine dine servic keep place
France,The Frog at Bercy Village,Negative,We tired the tasting menu - avoid,,we tired the tasting menu with wine pairing the food was not interesting not very tasty and overall wasted time and money i would not come back and i would not recommend it,33,"['tire', 'tast', 'menu', 'wine', 'pair', 'food', 'interest', 'tasti', 'overal', 'wast', 'time', 'money', 'would', 'come', 'back', 'would', 'recommend']",tire tast menu wine pair food interest tasti overal wast time money would come back would recommend
France,The Frog at Bercy Village,Negative,Huge Disappointment,,this restaurant’s high rating is wholly unwarranted we were looking forward to ad hoc’s truffle menu this week with white truffles in season and left sorely disappointed the food was flavorless served cold and overpriced to boot it seemed as if the dishes had been made in advance and reheated the truffles inferior in quality and taste we dined at other restaurants in rome the same week that served far more flavorful truffles at a much lower price so recognize the difference the service was slow and disjointed the only thing that checked out were the wine pairings which were fine do yourself a favor and look elsewhere,108,"['restaur', '’', 'high', 'rate', 'wholli', 'unwarr', 'look', 'forward', 'ad', 'hoc', '’', 'truffl', 'menu', 'week', 'white', 'truffl', 'season', 'left', 'sore', 'disappoint', 'food', 'flavorless', 'serv', 'cold', 'overpr', 'boot', 'seem', 'dish', 'made', 'advanc', 'reheat', 'truffl', 'inferior', 'qualiti', 'tast', 'dine', 'restaur', 'rome', 'week', 'serv', 'far', 'flavor', 'truffl', 'much', 'lower', 'price', 'recogn', 'differ', 'servic', 'slow', 'disjoint', 'thing', 'check', 'wine', 'pair', 'fine', 'favor', 'look', 'elsewher']",restaur ’ high rate wholli unwarr look forward ad hoc ’ truffl menu week white truffl season left sore disappoint food flavorless serv cold overpr boot seem dish made advanc reheat truffl inferior qualiti tast dine restaur rome week serv far flavor truffl much lower price recogn differ servic slow disjoint thing check wine pair fine favor look elsewher
France,The Frog at Bercy Village,Negative,Expensive mediocre food and service,,we got the tasting menu and wine pairing frankly the food wasnt tasty and the wine was boring the service was completely impersonal and almost robotic i would avoid this place at all costs there are too many really good restaurants in rome,43,"['got', 'tast', 'menu', 'wine', 'pair', 'frankli', 'food', 'wasnt', 'tasti', 'wine', 'bore', 'servic', 'complet', 'imperson', 'almost', 'robot', 'would', 'avoid', 'place', 'cost', 'mani', 'realli', 'good', 'restaur', 'rome']",got tast menu wine pair frankli food wasnt tasti wine bore servic complet imperson almost robot would avoid place cost mani realli good restaur rome
France,The Frog at Bercy Village,Negative,all around awful,,my wife and i booked well in advance based on ta reviews we were seated as we arrived and the interior was wonderful we each ordered the pumpkin flower stuffed with cheese they arrived about minutes later stone cold and tasted like hard potato chips stuffed with a glob of cheese we ate about and told the waitress who never came back to check when she came to clear the plates that is was awful she argued with us sayingwell that is how we make it about another minutes passed and our second course arrive again stone coldit was a pasta dish that was way under cooked not just al dente we did not eat more than a few bites but sat there for about minutes until someone came by to clear the plateswe told her that the food was not edible and asked for our waitressafter sitting for about more minutes we decided to get up an leavethe waitress never appeared until we started to walk out and then she said our main course was ready this was hours after we arrived we paid for the first two course even though a classy restaurant would not have charged at all and walked out the waitress was rude and the food awful and the service even worse,223,"['wife', 'book', 'well', 'advanc', 'base', 'ta', 'review', 'seat', 'arriv', 'interior', 'wonder', 'order', 'pumpkin', 'flower', 'stuf', 'chees', 'arriv', 'minut', 'later', 'stone', 'cold', 'tast', 'like', 'hard', 'potato', 'chip', 'stuf', 'glob', 'chees', 'ate', 'told', 'waitress', 'came_NEG', 'back', 'check', 'came', 'clear', 'plate', 'aw', 'argu', 'u', 'sayingwel', 'make', 'anoth', 'minut', 'pa', 'second', 'cours', 'arriv', 'stone', 'coldit', 'pasta', 'dish', 'way', 'cook', 'al', 'dent', 'eat', 'bite', 'sat', 'minut', 'someon', 'came', 'clear', 'platesw', 'told', 'food', 'edibl', 'ask', 'waitressaft', 'sit', 'minut', 'decid', 'get', 'leaveth', 'waitress', 'appear_NEG', 'start', 'walk', 'said', 'main', 'cours', 'readi', 'hour', 'arriv', 'paid', 'first', 'two', 'cours', 'even', 'though', 'classi', 'restaur', 'would', 'charg', 'walk', 'waitress', 'rude', 'food', 'aw', 'servic', 'even', 'wors']",wife book well advanc base ta review seat arriv interior wonder order pumpkin flower stuf chees arriv minut later stone cold tast like hard potato chip stuf glob chees ate told waitress came_NEG back check came clear plate aw argu u sayingwel make anoth minut pa second cours arriv stone coldit pasta dish way cook al dent eat bite sat minut someon came clear platesw told food edibl ask waitressaft sit minut decid get leaveth waitress appear_NEG start walk said main cours readi hour arriv paid first two cours even though classi restaur would charg walk waitress rude food aw servic even wors
